iter	Passed	Remaining
189	28334	120792
190	28477	120619
191	28671	120657
192	28839	120589
193	28983	120414
194	29138	120289
195	29276	120092
196	29409	119877
197	29543	119665
198	29686	119493
199	29826	119307
200	29964	119112
201	30103	118924
202	30240	118727
203	30382	118550
204	30562	118521
205	30745	118502
206	30906	118401
207	31098	118414
208	31261	118314
209	31450	118312
210	31593	118137
211	31748	118006
212	31881	117795
213	32042	117689
214	32198	117561
215	32342	117390
216	32483	117211
217	32620	117016
218	32767	116855
219	32981	116935
220	33189	116990
221	33367	116936
222	33533	116839
223	33672	116650
224	33813	116470
225	33957	116295
226	34106	116142
227	34279	116069
228	34424	115899
229	34578	115761
230	34735	115634
231	34885	115483
232	35046	115366
233	35243	115370
234	35392	115212
235	35528	115015
236	35676	114855
237	35813	114662
238	35957	114492
239	36132	114419
240	36306	114341
241	36462	114207
242	36653	114183
243	36823	114091
244	36981	113962
245	37132	113813
246	37287	113672
247	37431	113502
248	37594	113388
249	37755	113265
250	37923	113166
251	38167	113290
252	38343	113211
253	38538	113187
254	38702	113071
255	38867	112959
256	39019	112807
257	39160	112625
258	39303	112446
259	39447	112273
260	39605	112138
261	39802	112115
262	39944	111935
263	40091	111771
264	40232	111587
265	40366	111386
266	40508	111209
267	40673	111094
268	40845	110996
269	41031	110935
270	41202	110837
271	41359	110696
272	41514	110552
273	41650	110357
274	41791	110178
275	41927	109984
276	42064	109792
277	42200	109599
278	42336	109407
279	42477	109226
280	42614	109038
281	42766	108887
282	42920	108741
283	43059	108559
284	43208	108400
285	43352	108230
286	43518	108113
287	43657	107932
288	43798	107752
289	43944	107587
290	44115	107484
291	44284	107374
292	44462	107287
293	44610	107125
294	44761	106971
295	44912	106817
296	45057	106651
297	45196	106470
298	45339	106298
299	45489	106142
300	45631	105968
301	45780	105809
302	45940	105677
303	46091	105525
304	46244	105377
305	46387	105206
306	46536	105047
307	46684	104889
308	46825	104714
309	46966	104537
310	47097	104340
311	47225	104137
312	47366	103964
313	47507	103789
314	47659	103640
315	47807	103481
316	47950	103313
317	48085	103125
318	48217	102935
319	48346	102736
320	48480	102548
321	48621	102376
322	48751	102182
323	48881	101986
324	49014	101800
325	49168	101654
326	49328	101522
327	49478	101370
328	49630	101221
329	49784	101078
330	49927	100910
331	50066	100736
332	50197	100546
333	50326	100352
334	50474	100196
335	50611	100017
336	50747	99838
337	50887	99666
338	51052	99544
339	51237	99460
340	51374	99284
341	51503	99091
342	51635	98905
343	51768	98721
344	51900	98535
345	52038	98362
346	52170	98176
347	52309	98006
348	52452	97840
349	52588	97663
350	52735	97507
351	52870	97329
352	52995	97133
353	53123	96942
354	53248	96748
355	53382	96568
356	53515	96387
357	53645	96202
358	53777	96021
359	53908	95837
360	54033	95643
361	54171	95472
362	54301	95289
363	54433	95109
364	54557	94915
365	54682	94723
366	54806	94530
367	54934	94343
368	55065	94162
369	55188	93970
370	55317	93786
371	55449	93608
372	55580	93428
373	55711	93249
374	55844	93074
375	55972	92889
376	56102	92711
377	56228	92524
378	56363	92352
379	56501	92186
380	56634	92011
381	56773	91848
382	56910	91680
383	57045	91510
384	57171	91325
385	57308	91158
386	57444	90990
387	57576	90817
388	57721	90662
389	57873	90519
390	58010	90353
391	58162	90210
392	58316	90071
393	58459	89914
394	58596	89748
395	58733	89583
396	58884	89439
397	59025	89279
398	59162	89115
399	59305	88957
400	59460	88819
401	59628	88701
402	59783	88562
403	59925	88405
404	60099	88293
405	60237	88131
406	60384	87981
407	60522	87816
408	60666	87663
409	60803	87497
410	60940	87332
411	61069	87157
412	61223	87017
413	61374	86872
414	61500	86693
415	61637	86529
416	61768	86356
417	61901	86188
418	62036	86021
419	62176	85863
420	62312	85698
421	62456	85544
422	62593	85382
423	62745	85238
424	62921	85128
425	63079	84993
426	63243	84867
427	63405	84738
428	63556	84594
429	63711	84454
430	63876	84328
431	64044	84206
432	64206	84076
433	64364	83940
434	64521	83804
435	64673	83660
436	64837	83531
437	64994	83394
438	65141	83244
439	65326	83142
440	65498	83024
441	65660	82893
442	65802	82735
443	65946	82581
444	66092	82430
445	66239	82280
446	66390	82133
447	66536	81982
448	66685	81834
449	66837	81690
450	66985	81541
451	67129	81386
452	67278	81239
453	67426	81090
454	67566	80931
455	67721	80790
456	67872	80645
457	68013	80487
458	68150	80325
459	68292	80169
460	68429	80007
461	68574	79855
462	68730	79715
463	68877	79565
464	69014	79403
465	69166	79259
466	69305	79100
467	69453	78951
468	69596	78796
469	69743	78646
470	69877	78482
471	70025	78333
472	70169	78180
473	70307	78020
474	70451	77867
475	70632	77755
476	70798	77625
477	70953	77484
478	71119	77355
479	71287	77228
480	71433	77076
481	71593	76940
482	71793	76847
483	71989	76748
484	72142	76605
485	72309	76475
486	72459	76327
487	72635	76207
488	72810	76085
489	72970	75948
490	73165	75847
491	73362	75747
492	73568	75658
493	73746	75537
494	73930	75424
495	74112	75307
496	74326	75224
497	74513	75112
498	74704	75004
499	74888	74888
500	75055	74756
501	75261	74661
502	75435	74536
503	75824	74620
504	76019	74514
505	76179	74372
506	76350	74242
507	76519	74109
508	76682	73971
509	76847	73833
510	77002	73687
511	77152	73536
512	77315	73397
513	77470	73250
514	77627	73105
515	77784	72960
516	77947	72821
517	78123	72694
518	78303	72570
519	78479	72442
520	78655	72314
521	78851	72205
522	79002	72054
523	79150	71899
524	79296	71744
525	79449	71595
526	79643	71482
527	79831	71364
528	80002	71231
529	80252	71167
530	80540	71136
531	80744	71031
532	80925	70905
533	81101	70774
534	81273	70639
535	81444	70504
536	81615	70368
537	81831	70271
538	82011	70143
539	82246	70061
540	82433	69939
541	82632	69826
542	82810	69694
543	82986	69562
544	83160	69427
545	83324	69284
546	83471	69127
547	83791	69112
548	83980	68989
549	84146	68847
550	84312	68704
551	84499	68578
552	84686	68453
553	84901	68350
554	85082	68219
555	85256	68082
556	85454	67964
557	85625	67825
558	85786	67677
559	85948	67530
560	86102	67377
561	86278	67241
562	86462	67111
563	86635	66973
564	86796	66825
565	86965	66683
566	87119	66530
567	87281	66382
568	87448	66239
569	87616	66096
570	87774	65946
571	87923	65788
572	88071	65631
573	88228	65479
574	88368	65316
575	88506	65150
576	88643	64984
577	88780	64818
578	88917	64652
579	89055	64488
580	89199	64328
581	89363	64181
582	89528	64036
583	89736	63922
584	89934	63799
585	90134	63678
586	90329	63553
587	90495	63408
588	90663	63264
589	90812	63107
590	90960	62948
591	91112	62793
592	91252	62630
593	91394	62468
594	91543	62310
595	91702	62160
596	91855	62006
597	92037	61871
598	92207	61728
599	92387	61591
600	92555	61446
601	92706	61290
602	92896	61160
603	93073	61021
604	93237	60873
605	93379	60712
606	93539	60561
607	93706	60415
608	93851	60255
609	93989	60091
610	94136	59932
611	94273	59768
612	94405	59600
613	94543	59436
614	94681	59272
615	94809	59101
616	94947	58937
617	95080	58771
618	95216	58606
619	95358	58445
620	95494	58280
621	95628	58114
622	95768	57952
623	95907	57790
624	96047	57628
625	96192	57469
626	96328	57305
627	96473	57146
628	96612	56984
629	96758	56826
630	96904	56668
631	97041	56505
632	97189	56348
633	97369	56209
634	97576	56087
635	97780	55962
636	97975	55832
637	98157	55694
638	98345	55559
639	98531	55424
640	98723	55291
641	98906	55153
642	99090	55016
643	99264	54872
644	99452	54737
645	99654	54609
646	99888	54498
647	100073	54360
648	100238	54212
649	100384	54053
650	100519	53888
651	100655	53724
652	100792	53560
653	100935	53400
654	101068	53234
655	101202	53069
656	101336	52904
657	101473	52741
658	101615	52581
659	101752	52417
660	101890	52255
661	102052	52105
662	102311	52004
663	102533	51884
664	102731	51751
665	102906	51607
666	103074	51460
667	103276	51328
668	103473	51195
669	103686	51069
670	103851	50919
671	104019	50771
672	104185	50621
673	104381	50487
674	104560	50343
675	104744	50202
676	104935	50065
677	105120	49924
678	105345	49802
679	105550	49670
680	105767	49544
681	105973	49413
682	106212	49296
683	106438	49173
684	106633	49035
685	106807	48888
686	107029	48763
687	107268	48644
688	107488	48517
689	107689	48382
690	107906	48253
691	108111	48118
692	108302	47978
693	108503	47841
694	108717	47710
695	108928	47578
696	109135	47443
697	109325	47301
698	109526	47163
699	109760	47040
700	109954	46899
701	110127	46749
702	110293	46596
703	110480	46451
704	110655	46302
705	110887	46176
706	111123	46052
707	111334	45917
708	111545	45782
709	111754	45646
710	111923	45493
711	112119	45351
712	112329	45215
713	112539	45078
714	112775	44952
715	112961	44806
716	113132	44653
717	113317	44506
718	113483	44351
719	113630	44189
720	113794	44034
721	113968	43882
722	114122	43723
723	114281	43565
724	114425	43402
725	114570	43240
726	114744	43088
727	114919	42937
728	115094	42785
729	115277	42636
730	115468	42491
731	115645	42340
732	115816	42187
733	115977	42030
734	116141	41874
735	116286	41711
736	116438	41551
737	116586	41389
738	116752	41234
739	116906	41075
740	117049	40911
741	117191	40748
742	117333	40584
743	117479	40422
744	117626	40261
745	117775	40100
746	117930	39941
747	118103	39788
748	118280	39637
749	118451	39483
750	118632	39333
751	118812	39182
752	118978	39027
753	119144	38872
754	119298	38712
755	119464	38557
756	119656	38410
757	119834	38258
758	120003	38103
759	120179	37951
760	120361	37800
761	120563	37656
762	120748	37506
763	120942	37359
764	121116	37205
765	121293	37052
766	121467	36899
767	121660	36751
768	121873	36609
769	122060	36459
770	122261	36313
771	122459	36166
772	122663	36021
773	122891	35882
774	123114	35742
775	123305	35593
776	123471	35436
777	123661	35286
778	123846	35134
779	123999	34974
780	124146	34812
781	124303	34652
782	124463	34493
783	124629	34336
784	124786	34177
785	124959	34021
786	125107	33860
787	125255	33698
788	125407	33537
789	125569	33379
790	125725	33219
791	125873	33057
792	126036	32899
793	126186	32738
794	126331	32576
795	126478	32414
796	126631	32253
797	126781	32092
798	126920	31928
799	127067	31766
800	127207	31603
801	127351	31440
802	127510	31282
803	127673	31124
804	127814	30961
805	127976	30803
806	128148	30647
807	128329	30494
808	128503	30338
809	128687	30185
810	128894	30038
811	129110	29892
812	129337	29749
813	129563	29605
814	129776	29458
815	129964	29305
816	130135	29149
817	130296	28990
818	130459	28831
819	130633	28675
820	130793	28516
821	130955	28357
822	131183	28213
823	131380	28061
824	131645	27924
825	131856	27776
826	132104	27634
827	132319	27486
828	132539	27339
829	132791	27198
830	133029	27054
831	133212	26898
832	133435	26751
833	133615	26594
834	133845	26448
835	134224	26331
836	134670	26226
837	135013	26100
838	135350	25973
839	135644	25836
840	135869	25687
841	136070	25533
842	136287	25382
843	136561	25241
844	136791	25091
845	137109	24958
846	137396	24819
847	137674	24677
848	137853	24518
849	138025	24357
850	138218	24200
851	138410	24043
852	138608	23886
853	138834	23735
854	139028	23577
855	139211	23418
856	139406	23261
857	139612	23106
858	139809	22948
859	139979	22787
860	140204	22634
861	140452	22485
862	140661	22329
863	140853	22171
864	141081	22018
865	141293	21863
866	141527	21710
867	141729	21553
868	141955	21399
869	142144	21240
870	142334	21080
871	142521	20920
872	142693	20758
873	142850	20594
874	143024	20432
875	143225	20273
876	143394	20111
877	143562	19948
878	143740	19786
879	143926	19626
880	144102	19464
881	144270	19301
882	144459	19141
883	144673	18984
884	144870	18824
885	145058	18664
886	145274	18507
887	145489	18349
888	145700	18192
889	145909	18033
890	146091	17872
891	146291	17712
892	146583	17563
893	146789	17404
894	146969	17242
895	147141	17078
896	147302	16914
897	147446	16747
898	147592	16581
899	147739	16415
900	147892	16250
901	148031	16083
902	148186	15918
903	148428	15762
904	148616	15600
905	148810	15439
906	148997	15277
907	149188	15116
908	149406	14957
909	149593	14794
910	149784	14633
911	150055	14479
912	150286	14320
913	150489	14159
914	150668	13996
915	150857	13834
916	151032	13670
917	151213	13507
918	151412	13345
919	151618	13184
920	151834	13023
921	152042	12862
922	152259	12702
923	152489	12542
924	152704	12381
925	152893	12218
926	153083	12055
927	153249	11890
928	153404	11724
929	153558	11558
930	153712	11392
931	153874	11226
932	154026	11060
933	154190	10895
934	154368	10731
935	154521	10565
936	154672	10399
937	154834	10234
938	155019	10070
939	155183	9905
940	155346	9740
941	155506	9574
942	155659	9408
943	155805	9242
944	155950	9076
945	156092	8910
946	156238	8744
947	156399	8578
948	156560	8413
949	156763	8250
950	157038	8091
951	157217	7926
952	157400	7762
953	157550	7596
954	157697	7430
955	157839	7264
956	157972	7098
957	158157	6933
958	158336	6769
959	158522	6605
960	158678	6439
961	158853	6274
962	159015	6109
963	159164	5943
964	159325	5778
965	159480	5613
966	159692	5449
967	159861	5284
968	160033	5119
969	160195	4954
970	160386	4790
971	160545	4624
972	160691	4459
973	160831	4293
974	160968	4127
975	161102	3961
976	161246	3795
977	161395	3630
978	161550	3465
979	161697	3299
980	161839	3134
981	161979	2969
982	162114	2803
983	162265	2638
984	162404	2473
985	162548	2307
986	162700	2142
987	162855	1978
988	162997	1812
989	163145	1647
990	163331	1483
991	163493	1318
992	163665	1153
993	163870	989
994	164041	824
995	164200	659
996	164380	494
997	164529	329
998	164675	164
999	164820	0
